,0,1
0,accept_reservations,does spago in beverly hills allow customers to make reservations
1,accept_reservations,what is the reservation policy for spago in beverly hills
2,accept_reservations,are reservations taken at spago in beverly hills
3,accept_reservations,am i able to make reservations at spago in beverly hills
4,accept_reservations,can i make reservations at spago in beverly hills
5,accept_reservations,let me know if grub burger takes reservations
6,accept_reservations,give me information on grub burger reservations
7,accept_reservations,is grub burger taking reservations
8,accept_reservations,find out of grub burger takes reservations
9,accept_reservations,can i make reservations at grub burger
10,accept_reservations,is it possible to do a reservation at the bellagio
11,accept_reservations,does the bellagio have any reservations
12,accept_reservations,does bellagio allow you to do reservations
13,accept_reservations,can i make a reservation at chima steakhouse in chicago
14,accept_reservations,will i be able to schedule a reservation at 4 seasons in los angeles
15,accept_reservations,is it possible to make a reservation at sushi king in virginia beach
16,accept_reservations,does ruth chris in charlotte allow you to make a reservation
17,accept_reservations,will maggianos in charlotte allow me to make a reservation
18,accept_reservations,does long horns do reservations
19,accept_reservations,"i need to make a reservation to long horn's, can i"
20,accept_reservations,can i do a reservation at sammy's crab shack
21,accept_reservations,does bill's house of chop suey accept reservations
22,accept_reservations,check if bj's takes reservations
23,accept_reservations,does bj's take reservations
24,accept_reservations,will bj's take reservations
25,accept_reservations,do you know if i can make reservations at bj's
26,accept_reservations,tell me if the new york restaurant takes reservations
27,accept_reservations,can i reserve tables at the new york restaurant
28,accept_reservations,i want to know if the new york restaurant takes reservations
29,accept_reservations,does the new york restaurant take reservations
30,accept_reservations,is it possible to make reservations at the new york restaurant
31,accept_reservations,do you have any idea if the flying wing does reservations
32,accept_reservations,does village inn let you make reservations
33,accept_reservations,is it possible to get reservations at ihop
34,accept_reservations,is it possible to reserve a table at white castle
35,accept_reservations,do you think they'll let me reserve a table at the olive garden
36,accept_reservations,do they take reservations at applebeesi
37,accept_reservations,does applebees do reservations
38,accept_reservations,can applebees take reservations
39,accept_reservations,can i get reservations at applebees
40,accept_reservations,does applebees take reservations
41,accept_reservations,tell me if taco bell takes reservations
42,accept_reservations,any clue as to if taco bell takes reservations
43,accept_reservations,do you know if taco bell takes reservations
44,accept_reservations,any idea as to if taco bell takes reservations
45,accept_reservations,do you know if l'arpege will ask for reservations
46,accept_reservations,will we have to make reservations for roca
47,accept_reservations,does osteria francescana take reservations
48,accept_reservations,do you have any idea if central needs reservations
49,accept_reservations,eleven madison park takes reservations right
50,account_blocked,my account looks to be blocked and i have no idea why
51,account_blocked,it seems that my account is blocked and i'm not sure why
52,account_blocked,my account appears to be blocked and i don't know why
53,account_blocked,it looks like my account is blocked but i have no clue why
54,account_blocked,my account appears to be blocked but i have no idea why that could be
55,account_blocked,why did you freeze my bank account
56,account_blocked,how did my bank account is frozen
57,account_blocked,can anyone let me know the reason behind my frozen bank account
58,account_blocked,what are the possible reasons behind frozen bank account
59,account_blocked,need help with frozen bank account
60,account_blocked,great western bank's login screen tells me i'm locked out but not why
61,account_blocked,i get an error message when i try logging in to capital one that says i'm locked out
62,account_blocked,can you check and see if my account's blocked
63,account_blocked,why can't i log into my bank account
64,account_blocked,tell me why i get an error logging in to my bank account
65,account_blocked,i'd like to know if my account's blocked and the reason if so
66,account_blocked,can you confirm my account's blocked and tell me why
67,account_blocked,do you have any idea why my account may be blocked
68,account_blocked,find out why i can't log in to my bank of america account
69,account_blocked,please tell me the reason for the hold on my bb&t account
70,account_blocked,why is my bank account locked
71,account_blocked,how do i unlock my bank account
72,account_blocked,can you unlock my bank account
73,account_blocked,how did my bank account get frozen
74,account_blocked,can you help me unlock my bank account
75,account_blocked,call my bank and ask them why my account is frozen
76,account_blocked,check with my bank to see why my account is frozen
77,account_blocked,do you know why my bank account is frozen
78,account_blocked,why did my bank place a hold on my bank account
79,account_blocked,are there any problems with my bank account
80,account_blocked,did someone who is unauthorized try to get into my bank account
81,account_blocked,how can i unfreeze my bank account
82,account_blocked,why is there a stop on my deposit account
83,account_blocked,why can't i use my money market account
84,account_blocked,why is there a delay on my checking account
85,account_blocked,why is my checking account not working
86,account_blocked,what could cause a hold on my savings account
87,account_blocked,what caused a hold on my us bank account
88,account_blocked,can you check and see why us bank put a hold on my account
89,account_blocked,why does us bank have a hold on my account
90,account_blocked,reasons that us bank would place a hold on my account
91,account_blocked,check to see why us bank placed a hold on my account
92,account_blocked,"is there a problem with my account, it appears to be blocked"
93,account_blocked,"what is up with my account, why is it blocked"
94,account_blocked,there seems to be an issue with my account
95,account_blocked,can you help me unblock my account
96,account_blocked,"can you check what the problem with my account is, it seems to b e blocked"
97,account_blocked,is there a reason you put a hold on my chase account
98,account_blocked,why can't i access my chase account
99,account_blocked,how come my chase account has a hold on it
100,alarm,i'd like alarms set for 11am and 132pm
101,alarm,i want you to set alarms for 2pm and 3pm
102,alarm,i need alarm for both 4am and 7am
103,alarm,set an alarm for 235pm and another an hour later
104,alarm,please add alarms at 430am and 1030am
105,alarm,set my alarm for quarter after six tomorrow
106,alarm,"set my alarm for eight tomorrow, please"
107,alarm,set my alarm for six tomorrow morning
108,alarm,"set my alarm for five tomorrow morning, please"
109,alarm,"set an alarm for four thirty tomorrow, please"
110,alarm,set me an alarm right now
111,alarm,set an alarm for me please
112,alarm,please set an alarm for me
113,alarm,please set me an alarm
114,alarm,set me an alarm now
115,alarm,create alarms for 8 pm and 9 pm
116,alarm,i need an alarm set for ten pm and midnight
117,alarm,make an alarm for one and two in the morning
118,alarm,can you set up alarms for one in the afternoon and ten at night
119,alarm,set an alarm for 05:00 and one for 16:00
120,alarm,i want to set an alarm
121,alarm,set an alarm for 6 am tomorrow
122,alarm,set an alarm for 8 tomorrow
123,alarm,please set an alarm
124,alarm,i'd love to set an alarm
125,alarm,i would like to have an alarm set for me
126,alarm,i want an alarm set
127,alarm,i need to set an alarm
128,alarm,set an alarm for ten tomorrow
129,alarm,set an alarm for 11 tomorrow
130,alarm,i want an alarm for 6 am
131,alarm,set an alarm for me
132,alarm,i wanna have an alarm
133,alarm,i need an alarm set now
134,alarm,set an alarm for 9 tomorrow
135,alarm,don't forget to set an alarm for noon
136,alarm,can you set the alarm for noon
137,alarm,i need to up by noon
138,alarm,can you wake me up at noon
139,alarm,set alarm for noon
140,alarm,wake me up with an alarm at 6am
141,alarm,help me wake up with an alarm at 5:30am
142,alarm,set an alarm to wake me up at 5:30am
143,alarm,set an alarm for 5am
144,alarm,please set the alarm
145,alarm,please make sure the alarm is set
146,alarm,could you set the alarm
147,alarm,set the alarm now
148,alarm,can you set an alarm
149,alarm,i need an alarm
150,application_status,what is the present status of my credit card application
151,application_status,what is the current status of my credit card application
152,application_status,in what status is my credit card application currently in
153,application_status,how far along is my credit card application
154,application_status,what is the status of my credit card application looking like
155,application_status,pull up my credit card application's current status
156,application_status,has my credit card application processed yet
157,application_status,check the status of my credit card application please
158,application_status,has my card application successfully gone through
159,application_status,go to the credit card site and check if my application has gone through
160,application_status,has my credit card application been approved yet
161,application_status,can you check on the status of my credit card application
162,application_status,i would like to know if my visa card application has been approved
163,application_status,can you let me know if my visa card has been approved
164,application_status,at what point will the review of my credit card application be completed
165,application_status,can you check if my mastercard application has been reviewed yet
166,application_status,has my visa card application been approved yet
167,application_status,please let me know how my credit card application is going
168,application_status,when will my credit card application be reviewed
169,application_status,please let me know if my discover card application has been approved
170,application_status,how is the status of my credit card application coming along
171,application_status,what exactly is the status of my application for the credit card
172,application_status,i need to know the status of my credit card application
173,application_status,i would like to know the status of my credit card application
174,application_status,let me know if my application for american saving bank
175,application_status,check the status of my credit card application for me
176,application_status,i want to know if my credit card application has been processed
177,application_status,i want to know the status of my credit card application
178,application_status,can you check if my credit card application has been processed
179,application_status,i want to know how is my credit card application going
180,application_status,can you let me know the status of my discover credit card application status
181,application_status,can you tell me the status of my credit card application
182,application_status,has my application for american express gone through yet
183,application_status,let me know about the status of my credit card application
184,application_status,can you please tell me about the status of my credit card application
185,application_status,can you please let me know the status of my capital one application
186,application_status,let me know the credit card application status
187,application_status,has my application for discover card gone through yet
188,application_status,can you tell me the credit card application status
189,application_status,has my application for the hsbc card been approved yet
190,application_status,please tell me if my application for the hsbc card has gone through yet
191,application_status,how far has my application for the hsbc card gone till now
192,application_status,what's the status on my application for the hsbc credit card
193,application_status,how far has my application for the hsbc card proceeded till now
194,application_status,did the application for my visa card finish
195,application_status,has my mastercard application gone through the process
196,application_status,has my mastercard application gone through yet
197,application_status,has my application for my visa card gone through
198,application_status,has my mastercard application been processed
199,application_status,when will i know if my visa card application was approved
200,apr,is the apr on my card that ends 1234 what it should be based on my credit score
201,apr,"on my citi card, the one that ends 1234, what's the apr"
202,apr,has the apr on my card changed and what is it now
203,apr,let me know my card's apr
204,apr,can you tell me the status of my card's apr
205,apr,what is the apr on my citibank card
206,apr,how good is my card's apr
207,apr,what is the apr on my first bank card account
208,apr,what is the apr on my chase card
209,apr,what is my card's apr
210,apr,what is the apr on my american express
211,apr,i want to know the apr on my capital one card
212,apr,how does my card's apr compare to others
213,apr,is my card's apr good
214,apr,can you tell me how good my card's apr is
215,apr,what is my card's apr and is it good
216,apr,what is a good apr
217,apr,is my apr high
218,apr,what does my credit card charge for their annual percentage rate
219,apr,do you know the apr on my chase credit card
220,apr,you need to tell me my credit card's apr
221,apr,now tell me my credit card's apr
222,apr,i need to know the apr on my wells fargo credit card
223,apr,tell me my chase credit card's apr
224,apr,tell me what my wells fargo credit card apr is
225,apr,what is my b of a credit card's apr
226,apr,can you tell me the apr of my target credit card
227,apr,what is my apr rate
228,apr,is my apr rate above average
229,apr,does my apr rate suck
230,apr,what is my card's apr rate
231,apr,is my apr rate better than most
232,apr,what's my credit card's annual percentage rate
233,apr,what's the annual percentage rate for my credit card
234,apr,how high is the apr on my credit card
235,apr,what's the apr on my credit card
236,apr,how much am i paying for apr on my credit card
237,apr,is my card's apr a decent rate
238,apr,can you tell me my apr on my credit card
239,apr,would you consider my apr to be good
240,apr,what's the current apr on my credit card
241,apr,what kind of credit card apr do i get
242,apr,what's my apr rate
243,apr,tell me my apr rate
244,apr,could you share my credit card's apr
245,apr,is my apr rate good
246,apr,"i need to know what the current apr is for my chase sapphire, please"
247,apr,can you find me the apr listed on the statement for my citi mastercard
248,apr,what's the apr on my capital one venture card
249,apr,inform me on what my credit card's apr is
250,are_you_a_bot,are you secretly real
251,are_you_a_bot,i would like to know if you are a robot
252,are_you_a_bot,you could tell me if you were real
253,are_you_a_bot,i would like to know if you are an artificial intelligence being
254,are_you_a_bot,do you consider yourself an artificial intelligence being
255,are_you_a_bot,can you act and think like a real person
256,are_you_a_bot,could you be a real person
257,are_you_a_bot,"clear something up, are you a robot"
258,are_you_a_bot,are you a human being or a computer
259,are_you_a_bot,can you tell me if you are a real live person
260,are_you_a_bot,am i speaking with a real person
261,are_you_a_bot,are you an actual human
262,are_you_a_bot,would you be classified as a bot
263,are_you_a_bot,would it be accurate to call you a bot
264,are_you_a_bot,would you say you are a bot
265,are_you_a_bot,i am curious to know if you are a bot
266,are_you_a_bot,are you an actual live person
267,are_you_a_bot,please tell me if you are a bot
268,are_you_a_bot,are you a robot
269,are_you_a_bot,can you tell me what kind of life form you are
270,are_you_a_bot,tell me if you are a human or are a computer
271,are_you_a_bot,would you tell me if you are a human or are a computer
272,are_you_a_bot,provide me with the knowledge of whether you are a human or are a computer
273,are_you_a_bot,let me know if you are a human or are a computer
274,are_you_a_bot,i need to know whether you are a human or are a computer
275,are_you_a_bot,are you real
276,are_you_a_bot,can you tell me if your a bot
277,are_you_a_bot,i want to know if your a bot
278,are_you_a_bot,is this a bot
279,are_you_a_bot,i think your a bot
280,are_you_a_bot,is it true your a real person
281,are_you_a_bot,are you a person that's real
282,are_you_a_bot,are you actually a person
283,are_you_a_bot,are you really real
284,are_you_a_bot,your a bot aren't you
285,are_you_a_bot,could you be human
286,are_you_a_bot,could you be a person
287,are_you_a_bot,are you human
288,are_you_a_bot,are you a human or ai computer based
289,are_you_a_bot,would you call yourself a human or a computer
290,are_you_a_bot,how do you describe yourself: as a computer or a human
291,are_you_a_bot,are you computer or human
292,are_you_a_bot,would most people say you are a computer or a human
293,are_you_a_bot,are you real or a computer
294,are_you_a_bot,are you a computer generated voice
295,are_you_a_bot,am i talking to a real live person
296,are_you_a_bot,is your voice from a human or is it synthesized
297,are_you_a_bot,are you a person or artificial intelligence
298,are_you_a_bot,could you tell me if you're a real person
299,are_you_a_bot,are you a person or robot
300,balance,do i have more than $100 in my pnc account
301,balance,what's my pnc balance
302,balance,how much is in my pnc account
303,balance,how much money do i have in my pnc account
304,balance,what is the balance in my pnc account
305,balance,can i get beer within my deposit account
306,balance,is there enough in my savings account to get a new tv
307,balance,could be there be a good amount of money in my checking account to go on a vacation
308,balance,can i afford a new tv from my savings account
309,balance,will i have enough to get a new roku with my savings account
310,balance,do you think i have enough money in my chase account for a new pair of sneakers
311,balance,i hope i have enough money in my chase account to buy new clothes
312,balance,i am not sure if i have enough money in my chase account to buy a new dress
313,balance,i wonder if i have enough money in my chase account for a bike
314,balance,i keep trying to figure out if i have enough money in my chase account to purchase a new set of tires
315,balance,please tell me how much money i have in my bank accounts
316,balance,i need to know how much money i have in all of my bank accounts
317,balance,how much money is in all of my bank accounts
318,balance,how much money is in my bank accounts
319,balance,can you tell me how much money i have i my bank accounts
320,balance,what are my coffers at
321,balance,tell me the current balance of my bank accounts
322,balance,what's my current bank account total
323,balance,how much do i have in my bank accounts
324,balance,what's the balance in my bank accounts
325,balance,what do i have in my bank accounts right now
326,balance,is there enough in my wells fargo account to buy some nike's
327,balance,do i have enough in my wells fargo account to get some nike's
328,balance,do i have money in my wells fargo account for nike's
329,balance,"i want some nike's, is there enough in my wells fargo account"
330,balance,check my wells fargo account to see if i have enough for these nike's
331,balance,would you tell me my bank balance
332,balance,can you tell me my bank balance
333,balance,will you let me know my bank balance
334,balance,will you tell me my bank balance
335,balance,how much money is there in my bank accounts
336,balance,how much money do i have in my various bank accounts
337,balance,how much cash do i have in my various bank accounts
338,balance,how much cash do i have in my bank accounts
339,balance,how much dough do i have in my bank accounts
340,balance,whats the combined total of the money inside my bank accounts
341,balance,whats my bank accounts look like
342,balance,how much moola is in my bank accounts
343,balance,what the numerical number inside my bank accounts
344,balance,how much does my bank account have
345,balance,tell me the current account balance
346,balance,check my checking balance
347,balance,how much do i have left in my checking account
348,balance,what's my checking look like
349,balance,how much do i have in my savings account
350,bill_balance,how much is my kill bill bill for
351,bill_balance,what is the amount i owe on my phone
352,bill_balance,what is the total of my repair bill
353,bill_balance,how much is due on the gas bill
354,bill_balance,what do i owe on telephone and cable bill
355,bill_balance,how much do i have left to pay on my server and domain
356,bill_balance,what's the amount due on my vet and vehicle registration bills
357,bill_balance,what do my bills look like for amazon and netflix
358,bill_balance,how much do i have to pay on taxes and cable
359,bill_balance,how much do i owe on all of my bills
360,bill_balance,how much do i have to pay for my shell gas card bill
361,bill_balance,what is the total of all my bills combined
362,bill_balance,can you tell me how much i need to pay on my bills this month
363,bill_balance,how much is my bill for capital one
364,bill_balance,what is the total amount i am going to have to pay in bills this month
365,bill_balance,how much do i have to pay on my amazon card this month
366,bill_balance,how much do my bills cost this month
367,bill_balance,how much is my xfinity cable bill
368,bill_balance,what is the amount i owe to clay electric
369,bill_balance,could you tell me the amount owed on gas and electric
370,bill_balance,what do i owe to jcp
371,bill_balance,what is the amount due on my visa
372,bill_balance,how much do i owe visa
373,bill_balance,how much do you think my rent and electric bills are
374,bill_balance,what would you say my gas and phone bills are at
375,bill_balance,i need to know the price of my car payment and insurance please
376,bill_balance,what price is my credit card and my water bill at
377,bill_balance,how much is my water and sewer
378,bill_balance,how much do i need to pay for my electricity and water bills
379,bill_balance,what is the cost of my rent and water bills
380,bill_balance,how much are my rent and cable
381,bill_balance,how much does my water and electricity cost
382,bill_balance,what do i owe this month on all my bills
383,bill_balance,"i think all my bills are paid, but can you double check"
384,bill_balance,"i think i owe about 100 left on my bills, am i forgetting anything"
385,bill_balance,what are my bills this month
386,bill_balance,what does my cable bill look like
387,bill_balance,has my electricity bill increased this month how much
388,bill_balance,how expensive is my internet
389,bill_balance,how much will my monthly bill be
390,bill_balance,what are my total bills this month
391,bill_balance,what will i be paying for utilities this month
392,bill_balance,how much is my telephone bill this month
393,bill_balance,how much is due for my water bill
394,bill_balance,how much do i have to pay this month
395,bill_balance,tell me my water bill please
396,bill_balance,is the phone bill the same as last month
397,bill_balance,whens my insurance due and how much does it cost
398,bill_balance,how much is the car bill this month
399,bill_balance,what is the electricity bill
400,bill_due,when do i need to pay my dte energy bill
401,bill_due,what day do i have to pay my leasing office bill
402,bill_due,what day is my telephone bill due
403,bill_due,when is my cell phone bill due
404,bill_due,what day do i need to pay my internet and phone bill by
405,bill_due,what's the due date for spectrum's bill
406,bill_due,what date do i have to pay the phone bill on
407,bill_due,can you tell me the due date for the water bill
408,bill_due,what day is the cable bill owed on
409,bill_due,when is the electric bill due
410,bill_due,when do i need to pay my car insurance bill by
411,bill_due,how do i find out when my visa bill is due
412,bill_due,tell me how i know when to pay my chase bill
413,bill_due,tell me when my mastercard bill should be paid
414,bill_due,when should i pay my pg&e bill
415,bill_due,when is my kaiser bill due
416,bill_due,how long do i have to pay that bill
417,bill_due,is there a due date on the bill
418,bill_due,is the bill due this week
419,bill_due,i need to know what day i need to pay my water bill
420,bill_due,when is my electric bill due by
421,bill_due,when is my car insurance bill due
422,bill_due,how long until my water bill is due
423,bill_due,what's the latest i can pay my cellular bill
424,bill_due,what's the due date for my netflix subscription
425,bill_due,tell me where i can find my exterminator bill's due date
426,bill_due,how do i locate the due date for my bug bill
427,bill_due,where can i see the due date for auto loan bill
428,bill_due,when is my cell phone due
429,bill_due,i need to know where my due date is for my lawn bill
430,bill_due,where can i find when my car payment bill is due
431,bill_due,what's the ultimate day for me to pay the internet bill
432,bill_due,tell me the last day i can pay my gas bill
433,bill_due,what's the due date for my comcast bill
434,bill_due,i need to know when my water bill is due
435,bill_due,please tell me how to find out when my rent is due
436,bill_due,i need to know when my electricity bill is due
437,bill_due,can you tell me when my cable bill is due
438,bill_due,i need to find out how to check the due date for the water bill
439,bill_due,when does the current billing cycle end
440,bill_due,is the bill due today
441,bill_due,is the bill due
442,bill_due,when do i have to pay my internet
443,bill_due,i want to know when the deadline is to pay my car loan
444,bill_due,tell me when my water bill is due
445,bill_due,what day of the month do i have to pay my mortgage
446,bill_due,when is my electricity due date
447,bill_due,i need to know the next billing date of my american express card
448,bill_due,when does my gas bill need paid by
449,bill_due,when is next month's cable bill due
450,book_flight,can you find me a round trip flight from denver international to new york international on the 3rd through the 7th
451,book_flight,can you look for a denver international to new york international round trip flight for the 5th though 8th
452,book_flight,can you find me a flight from denver international to new york international on the 4th for under 700 dollars
453,book_flight,for under 700 i need a flight from denver international to new york international on the 3rd
454,book_flight,i need a flight from denver international to new york international round trip for the 4th though the 8th
455,book_flight,i want to find a round trip flight from denver international to new york international on the 8th to the 16th
456,book_flight,i need a flight from denver international to new york for under 700 on the 3rd
457,book_flight,i want to find a flight for under 700 on the 4th from denver international to new york international
458,book_flight,on the third i am looking for a flight for under 700 from denver international to new york international
459,book_flight,i need a flight from the 3rd to the 7th round rip from denver international to new york international
460,book_flight,find me a flight from philly to atl for june 5th to 8th
461,book_flight,get me flight from philly to atlanta on june 5th i'm coming back june 8th
462,book_flight,book a flight from philadelphia to atlanta on june 5th and returning on june 8th
463,book_flight,i need an airline ticket for a round trip flight from philadelphia to atlanta for the dates of june 5 - 8
464,book_flight,need airplane ridge from philadelphia to atlanta leaving on the 5th of june and returning on the 8th of june
465,book_flight,i'm looking for a back and forth flight from lax to portland for w to sunday
466,book_flight,i'm exploring a possible cycle flight from yyz to dublin for w to aug two
467,book_flight,i'm seeking a full circle flight from msy to msp for w to june 7
468,book_flight,i'm searching for a 2-way flight from yqg to heathrow for w to memorial day
469,book_flight,i'm striving to find a 2-way flight from jfk to dtw for w to july 3
470,book_flight,"book me a flight to jackson, mississippi from austin texas on american airlines"
471,book_flight,book me a place to chicago from atlanta united airlines
472,book_flight,can you book me a flight to memphis from st louis on delta airlines
473,book_flight,book a flight to los angeles from las vegas on american airlines
474,book_flight,"book me a flight to dallas from st, paul, minnesota on delta airlines"
475,book_flight,i need a flight on delta from los angeles to seattle
476,book_flight,i need to book a flight on jet blue to boston from new york
477,book_flight,can you get me a flight from san francisco to san jose using american airlines
478,book_flight,i want a flight from new york to san francisco using delta
479,book_flight,get me a flight from barcelona to paris from jet blue
480,book_flight,"""i'll be travelling from lax and headed to phl for 120 on the 10th of may"
481,book_flight,"""i'm fly out from lax to phl this weekend for around $120"
482,book_flight,"""i""m headed out to lax and going to phl for a low price of $120 this weekend on the 12th"
483,book_flight,"""i'm going on a flight from lax and going to phl, which is only $120 on june 15th"
484,book_flight,"""i'll leave to lax and go to phl for $120 on nov 5th"
485,book_flight,book me a flight from midway to jfk for less than 200 dollars
486,book_flight,i need a flight from boston to miami for under 300 dollars
487,book_flight,can i fly from atlanta to san francisco for less than 100 dollars
488,book_flight,book a flight from new york to la for less than 200 dollars
489,book_flight,find me a flight from seattle to detroit for less than 200 dollars
490,book_flight,i want to a book a roundtrip flight from san antonio to dtw departing on friday and returning on wednesday
491,book_flight,i'm looking for a flight from billings to cleveland on may 2 and a return on may 9
492,book_flight,i'm looking for flights that depart on the 3rd and return on z from monday to friday
493,book_flight,what roundtrip flights from orlando to vegas are available from thursday to monday
494,book_flight,are there any roundtrip flights from shanghai to seatac that depart on wednesday and return on the thirty first
495,book_flight,make sure i get a delta flight from pittsburgh to arizona
496,book_flight,book a delta flight to arizona from pittsburgh
497,book_flight,schedule a flight from pittsburgh to arizona on delta
498,book_flight,i want to fly to atlanta for under 300 from pittsburgh
499,book_flight,i need a flight for under 300 from pittsburgh to atlanta
500,book_hotel,by chance would it be possible to reserve me a hotel in afghanistan at the zoo for the 10th to the 15th
501,book_hotel,is it possible for a hotel to be booked by you for me in afghanistan at the zoo for the 10th to the 15th
502,book_hotel,could you book me a hotel in afghanistan at the zoo for the 10th to the 15th
503,book_hotel,could a hotel be booked for me in afghanistan at the zoo for the 10th to the 15th
504,book_hotel,can you reserve a hotel for myself a hotel in afghanistan at the zoo for the 10th to the 15th
505,book_hotel,i need to reserve a large room or suite for 2 couples for august 15th through august 18th in seattle
506,book_hotel,i need to book a hotel room or suite for 2 adults and 2 children in orlando for july 1st through 5th
507,book_hotel,i need a hotel room for 7 people in st louis for november 3rd through 5th
508,book_hotel,"i need a suite that can accommodate 3 adults and 1 child in san diego for may 15th, 16th, and 17th"
509,book_hotel,show me a hotel in boise that has positive reviews
510,book_hotel,i need a hotel with good reviews in baltimore
511,book_hotel,find hotels in baltimore that have positive reviews
512,book_hotel,show me a hotel that has good reviews in kansas city
513,book_hotel,i am looking for a hotel in new york city that has good reviews
514,book_hotel,could you book me a hotel in tampa from may 2 to may 4
515,book_hotel,help me book a place to stay from may 2 to may 4 in tampa
516,book_hotel,can you make a reservation in tampa from may 2 to may 4
517,book_hotel,i want to book a hotel in tampa from may 2 to may 4
518,book_hotel,make me a reservation in tampa from may 2 to may 4
519,book_hotel,book a motel in uptown from march 3 to march 4
520,book_hotel,i really need you to find me a hotel with good reviews in phoenix
521,book_hotel,i wanna book a place to stay in phoenix from the 5th to the 9th of march
522,book_hotel,i wanna find a hotel with good reviews in phoenix
523,book_hotel,i want a hotel in phoenix near chase field from january 4th to the 8th
524,book_hotel,i would like to book a place to stay in phoenix from the 5th to the 9th of march
525,book_hotel,i need a hotel in phoenix near chase field from january 4th to the 8th
526,book_hotel,i need a hotel room that is big enough for eleven people from march 10th to the 15th in phoenix
527,book_hotel,i must get a hotel in phoenix near chase field from january 4th to the 8th
528,book_hotel,go ahead and find me a hotel with good reviews in phoenix
529,book_hotel,find me a hotel with good reviews in phoenix
530,book_hotel,i need you to find me a hotel with good reviews in phoenix
531,book_hotel,get me a hotel in phoenix near chase field from january 4th to the 8th
532,book_hotel,i need to get a hotel in phoenix near chase field from january 4th to the 8th
533,book_hotel,please book me a place to stay in phoenix from the 5th to the 9th of march
534,book_hotel,i need to book a place to stay in phoenix from the 5th to the 9th of march
535,book_hotel,i really gotta book a place to stay in phoenix from the 5th to the 9th of march
536,book_hotel,i need to get a hotel room that is big enough for eleven people from march 10th to the 15th in phoenix
537,book_hotel,can you find me a reputable hotel in honolulu
538,book_hotel,"i want a hotel with good review in honolulu, can you find one"
539,book_hotel,find for me a hotel with great reviews in ho chi minh
540,book_hotel,i need your help to find a good reviewed hotel in washington
541,book_hotel,can you find me a good reviewed hotel in japan
542,book_hotel,i need a hotel between january 1st through 3rd in jacksonville near the stadium
543,book_hotel,find me a place to stay in jacksonville near the stadium from january 1st through 3rd
544,book_hotel,book me a hotel in jacksonville near the stadium from january 1st to 3rd
545,book_hotel,id like a room in jacksonville near the stadium between january 1st to 3rd
546,book_hotel,find me a room near the jacksonville stadium between january 1st through january 3rd
547,book_hotel,get me a hotel room big enough for 4 people from may 3 to may 5 in boston
548,book_hotel,i'm travelling to boston on march 2 until march 4 please make a hotel reservation for me
549,book_hotel,i need a hotel room for 4 people from may 3 to may 5 in boston
